epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,17527.6,1.50383,1.32787,1.48708,0.71477,0.63825,0.71262,0.4123,1.66519,1.31376,1.60528,0.000643101,0.000643101,0.000643101
84,17725.5,1.49663,1.32197,1.48212,0.73793,0.62935,0.71562,0.41219,1.66664,1.31481,1.61357,0.000635617,0.000635617,0.000635617
85,17925.4,1.51928,1.3451,1.48777,0.72903,0.63359,0.71375,0.4124,1.66355,1.32047,1.60569,0.000628101,0.000628101,0.000628101
86,18123.5,1.50374,1.32895,1.49972,0.71457,0.64445,0.71757,0.41682,1.67161,1.3094,1.60709,0.000620555,0.000620555,0.000620555
87,18323.6,1.48647,1.31845,1.48486,0.71329,0.64631,0.71865,0.41675,1.66806,1.31183,1.6105,0.000612981,0.000612981,0.000612981
88,18522.9,1.49914,1.32069,1.50064,0.7392,0.63825,0.72192,0.418,1.6648,1.31478,1.61556,0.00060538,0.00060538,0.00060538
89,18722.7,1.49169,1.30125,1.48384,0.73106,0.6352,0.71656,0.41354,1.67025,1.31076,1.6163,0.000597754,0.000597754,0.000597754
90,18922.8,1.52148,1.33176,1.50147,0.74759,0.6285,0.71967,0.4184,1.6681,1.28994,1.60767,0.000590105,0.000590105,0.000590105
91,19121,1.48405,1.28431,1.4831,0.73057,0.6374,0.72415,0.41686,1.67278,1.28981,1.61169,0.000582435,0.000582435,0.000582435
92,19319.7,1.52238,1.32832,1.49461,0.7338,0.64296,0.7252,0.41979,1.65902,1.29095,1.60011,0.000574746,0.000574746,0.000574746
93,19522.6,1.49058,1.29057,1.47562,0.72773,0.64801,0.72187,0.416,1.65765,1.28383,1.59437,0.00056704,0.00056704,0.00056704
94,19720.3,1.49924,1.2847,1.47879,0.72812,0.65225,0.72243,0.41559,1.65266,1.29253,1.59223,0.000559318,0.000559318,0.000559318
95,19921.1,1.48131,1.27843,1.47958,0.73345,0.64631,0.72256,0.41776,1.65365,1.29352,1.60005,0.000551584,0.000551584,0.000551584
96,20131.8,1.49341,1.2843,1.47092,0.71549,0.65378,0.72312,0.41682,1.66335,1.27002,1.59709,0.000543837,0.000543837,0.000543837
97,20335.3,1.47763,1.27199,1.46866,0.71154,0.6514,0.72403,0.41874,1.66227,1.26847,1.59851,0.000536081,0.000536081,0.000536081
98,20539.1,1.47392,1.27782,1.47775,0.71773,0.66031,0.7216,0.4165,1.66196,1.2731,1.59621,0.000528318,0.000528318,0.000528318
99,20742.7,1.45903,1.23338,1.45264,0.72113,0.66017,0.72293,0.41626,1.65726,1.26895,1.58832,0.000520548,0.000520548,0.000520548
100,20946.8,1.48502,1.27234,1.45984,0.72072,0.66323,0.72368,0.41706,1.66426,1.28003,1.59186,0.000512775,0.000512775,0.000512775
101,21151.3,1.49486,1.27921,1.46241,0.73022,0.65734,0.72383,0.41618,1.66755,1.2804,1.59649,0.000505,0.000505,0.000505
102,21356.9,1.45361,1.26099,1.46087,0.74513,0.64631,0.72708,0.41935,1.66341,1.27452,1.59368,0.000497225,0.000497225,0.000497225
103,21561.5,1.48796,1.26919,1.4784,0.71733,0.66296,0.72578,0.41737,1.66299,1.26509,1.59567,0.000489452,0.000489452,0.000489452
104,21764.8,1.47489,1.2718,1.45511,0.72191,0.66412,0.72588,0.41888,1.66019,1.27242,1.5913,0.000481682,0.000481682,0.000481682
105,21967.2,1.44674,1.23818,1.45105,0.72904,0.65225,0.72813,0.42254,1.65521,1.26393,1.58816,0.000473919,0.000473919,0.000473919
106,22172,1.47541,1.23509,1.46187,0.73479,0.65212,0.7289,0.42267,1.65202,1.27093,1.58555,0.000466163,0.000466163,0.000466163
107,22370.4,1.43982,1.23866,1.43643,0.73,0.66045,0.7292,0.42394,1.64212,1.26779,1.57826,0.000458416,0.000458416,0.000458416
108,22567.5,1.43447,1.20638,1.43765,0.76499,0.6268,0.72719,0.42485,1.64845,1.27245,1.58496,0.000450682,0.000450682,0.000450682
109,22765.2,1.43733,1.20409,1.4366,0.74376,0.64758,0.72881,0.42486,1.65408,1.27381,1.58133,0.00044296,0.00044296,0.00044296
110,22962.4,1.4678,1.21494,1.44521,0.74198,0.65182,0.72898,0.42372,1.65444,1.26144,1.58067,0.000435254,0.000435254,0.000435254
111,23161.4,1.44259,1.2029,1.44485,0.74043,0.65013,0.73144,0.42593,1.65642,1.26462,1.58669,0.000427565,0.000427565,0.000427565
112,23358.7,1.46558,1.24865,1.45413,0.73206,0.66046,0.72786,0.42177,1.65267,1.25604,1.58092,0.000419895,0.000419895,0.000419895
113,23558.1,1.44707,1.21864,1.43426,0.73938,0.65818,0.72939,0.42371,1.65256,1.25026,1.5791,0.000412246,0.000412246,0.000412246
114,23768.2,1.43282,1.18878,1.43191,0.73355,0.66921,0.73089,0.42325,1.64979,1.24598,1.58223,0.00040462,0.00040462,0.00040462
115,23979.3,1.4453,1.21072,1.42993,0.73983,0.66449,0.73181,0.4247,1.65112,1.24386,1.57876,0.000397019,0.000397019,0.000397019
116,24187.5,1.4494,1.20613,1.43447,0.73627,0.66667,0.73201,0.42408,1.64606,1.23399,1.57652,0.000389445,0.000389445,0.000389445
117,24394,1.44252,1.21211,1.43948,0.74334,0.66582,0.73132,0.42387,1.64455,1.23847,1.57718,0.000381899,0.000381899,0.000381899
118,24597.2,1.43451,1.18841,1.44092,0.74232,0.66031,0.73009,0.42555,1.64494,1.23865,1.57805,0.000374383,0.000374383,0.000374383
119,24803.6,1.4298,1.19172,1.42953,0.74567,0.66327,0.73359,0.42698,1.64766,1.23392,1.57874,0.000366899,0.000366899,0.000366899
120,25011.8,1.43131,1.17674,1.42059,0.75283,0.65267,0.73483,0.42599,1.65002,1.23499,1.57985,0.00035945,0.00035945,0.00035945
