epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,9824.18,1.24562,0.97993,0.00819,0.76351,0.70136,0.78379,0.51365,1.31672,1.04742,0.01264,0.000592596,0.000197532,0.000592596,0.000197532,0.000592596,0.000197532,0.000592596,0.000197532
109,9913.86,1.23898,0.99113,0.00833,0.78789,0.69066,0.7847,0.51166,1.32787,1.04058,0.01266,0.000568425,0.000189475,0.000568425,0.000189475,0.000568425,0.000189475,0.000568425,0.000189475
110,10003.2,1.23924,0.97734,0.00833,0.80335,0.67157,0.77916,0.50802,1.32192,1.05077,0.0128,0.00054467,0.000181557,0.00054467,0.000181557,0.00054467,0.000181557,0.00054467,0.000181557
111,10093.9,1.24235,0.97049,0.00781,0.80587,0.67265,0.78329,0.51165,1.32206,1.02639,0.01282,0.000521341,0.00017378,0.000521341,0.00017378,0.000521341,0.00017378,0.000521341,0.00017378
112,10183.8,1.25776,1.01375,0.00872,0.78606,0.68413,0.78354,0.51002,1.32433,1.02702,0.01259,0.000498448,0.000166149,0.000498448,0.000166149,0.000498448,0.000166149,0.000498448,0.000166149
113,10273.2,1.23826,1.00084,0.00837,0.79746,0.67983,0.78129,0.50927,1.33283,1.02351,0.01274,0.000476,0.000158667,0.000476,0.000158667,0.000476,0.000158667,0.000476,0.000158667
114,10362.4,1.23886,1.00105,0.00829,0.7863,0.69468,0.78592,0.51113,1.33953,1.00614,0.01279,0.000454008,0.000151336,0.000454008,0.000151336,0.000454008,0.000151336,0.000454008,0.000151336
115,10452.2,1.25123,0.99267,0.00813,0.77894,0.69275,0.78613,0.51488,1.3245,1.01476,0.01272,0.000432482,0.000144161,0.000432482,0.000144161,0.000432482,0.000144161,0.000432482,0.000144161
116,10541.2,1.25125,0.99513,0.00857,0.78974,0.69634,0.79049,0.51673,1.32748,1.0095,0.01278,0.00041143,0.000137143,0.00041143,0.000137143,0.00041143,0.000137143,0.00041143,0.000137143
117,10630.7,1.2557,0.99005,0.00822,0.80269,0.68632,0.78644,0.51513,1.32713,1.02132,0.01277,0.000390862,0.000130287,0.000390862,0.000130287,0.000390862,0.000130287,0.000390862,0.000130287
