epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4344.77,1.28624,1.06445,1.3872,0.73781,0.69895,0.76747,0.47463,1.34115,1.06858,1.4346,0.000667789,0.000667789,0.000667789
61,4416.98,1.28601,1.06076,1.37283,0.78099,0.69887,0.77008,0.46995,1.37762,1.07973,1.45101,0.000657963,0.000657963,0.000657963
62,4488.32,1.28233,1.06556,1.38883,0.74198,0.70998,0.77453,0.46389,1.42619,1.0846,1.49487,0.000648071,0.000648071,0.000648071
63,4559.48,1.29436,1.05282,1.38212,0.75808,0.68159,0.75622,0.45153,1.43944,1.11918,1.49936,0.000638115,0.000638115,0.000638115
64,4631.06,1.30114,1.08361,1.39425,0.76845,0.69804,0.76628,0.46992,1.38098,1.12966,1.44496,0.000628101,0.000628101,0.000628101
65,4702.73,1.29256,1.07326,1.37559,0.7465,0.70352,0.77276,0.47862,1.36277,1.07177,1.42648,0.000618034,0.000618034,0.000618034
66,4773.85,1.28968,1.0538,1.37404,0.76829,0.69741,0.78477,0.49301,1.33981,1.02569,1.42033,0.000607916,0.000607916,0.000607916
67,4845.08,1.27833,1.04332,1.35476,0.75995,0.70678,0.78235,0.48797,1.3611,1.04409,1.42413,0.000597754,0.000597754,0.000597754
68,4921.41,1.29963,1.06547,1.38927,0.74952,0.72434,0.78353,0.48611,1.36626,1.05559,1.43448,0.000587551,0.000587551,0.000587551
69,4996.77,1.25925,1.04241,1.35579,0.74587,0.71859,0.78231,0.49324,1.33,1.07845,1.41475,0.000577311,0.000577311,0.000577311
70,5072.35,1.26201,1.04678,1.36685,0.76421,0.69562,0.77084,0.48466,1.35884,1.08931,1.43581,0.00056704,0.00056704,0.00056704
71,5145.32,1.27123,1.03651,1.3807,0.77363,0.70413,0.79104,0.48966,1.35839,1.03026,1.40841,0.000556742,0.000556742,0.000556742
72,5218.09,1.25743,1.01753,1.35945,0.7749,0.70998,0.78597,0.48725,1.35454,1.04634,1.43605,0.000546421,0.000546421,0.000546421
73,5289.21,1.25479,0.99927,1.3423,0.76441,0.71042,0.7877,0.49305,1.34933,1.01464,1.41749,0.000536081,0.000536081,0.000536081
