epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4560.19,1.32956,1.10335,1.41261,0.76413,0.65039,0.73612,0.41002,1.56737,1.21475,1.56906,0.000628101,0.000628101,0.000628101
65,4632.05,1.32569,1.0751,1.39832,0.77882,0.67492,0.76575,0.4433,1.50042,1.12834,1.51612,0.000618034,0.000618034,0.000618034
66,4704.29,1.32062,1.06269,1.39321,0.75059,0.71509,0.77685,0.4403,1.49166,1.09855,1.49227,0.000607916,0.000607916,0.000607916
67,4775.97,1.29826,1.03259,1.372,0.77863,0.69437,0.7756,0.44344,1.51486,1.09581,1.53197,0.000597754,0.000597754,0.000597754
68,4846.41,1.31469,1.07914,1.40483,0.764,0.69718,0.77904,0.44984,1.49332,1.12225,1.50995,0.000587551,0.000587551,0.000587551
69,4918.9,1.28434,1.05529,1.37447,0.78373,0.68557,0.7653,0.40833,1.61819,1.15873,1.58363,0.000577311,0.000577311,0.000577311
70,4990.53,1.29407,1.04863,1.39215,0.82018,0.66906,0.77933,0.42656,1.59232,1.10849,1.54336,0.00056704,0.00056704,0.00056704
71,5061.27,1.29206,1.04455,1.39632,0.75492,0.71788,0.78836,0.42598,1.58856,1.11184,1.53688,0.000556742,0.000556742,0.000556742
72,5133.26,1.28978,1.02984,1.37771,0.76079,0.71644,0.78587,0.45269,1.46863,1.09098,1.48447,0.000546421,0.000546421,0.000546421
73,5206.31,1.28444,1.00943,1.36339,0.79032,0.68729,0.78127,0.45501,1.48143,1.07594,1.49715,0.000536081,0.000536081,0.000536081
74,5279.48,1.27858,1.01816,1.36016,0.76111,0.70215,0.77246,0.41144,1.62574,1.12262,1.57219,0.000525728,0.000525728,0.000525728
75,5351.6,1.30946,1.02939,1.37965,0.75626,0.71788,0.77683,0.43689,1.54616,1.07294,1.50832,0.000515366,0.000515366,0.000515366
76,5423.04,1.28291,1.04352,1.3777,0.76219,0.69275,0.77948,0.45327,1.48479,1.0777,1.493,0.000505,0.000505,0.000505
77,5494.23,1.25433,1.00346,1.35316,0.78794,0.68557,0.78781,0.45963,1.47246,1.0434,1.48093,0.000494634,0.000494634,0.000494634
78,5567.42,1.28371,1.02307,1.37562,0.78204,0.70834,0.79218,0.44738,1.5442,1.05972,1.52316,0.000484272,0.000484272,0.000484272
79,5639.48,1.25776,1.00387,1.35762,0.78037,0.70399,0.79002,0.44128,1.52802,1.06662,1.50344,0.000473919,0.000473919,0.000473919
80,5711.49,1.26189,1.00912,1.36239,0.76465,0.67911,0.77011,0.4176,1.59013,1.10908,1.5692,0.000463579,0.000463579,0.000463579
81,5781.79,1.2343,0.99264,1.34155,0.79435,0.68766,0.79312,0.45147,1.5019,1.05294,1.49946,0.000453258,0.000453258,0.000453258
82,5853.29,1.26551,1.01067,1.36744,0.80987,0.67767,0.78346,0.44903,1.48516,1.07337,1.49584,0.00044296,0.00044296,0.00044296
83,5925.15,1.25064,0.9884,1.35212,0.80037,0.68844,0.78408,0.4461,1.54085,1.0704,1.51166,0.000432689,0.000432689,0.000432689
84,5997.24,1.2451,0.99514,1.34166,0.80492,0.69419,0.79215,0.45689,1.49883,1.0465,1.51155,0.000422449,0.000422449,0.000422449
85,6071.66,1.24399,0.98666,1.36011,0.75762,0.70711,0.77708,0.44013,1.5305,1.05576,1.51897,0.000412246,0.000412246,0.000412246
86,6143.79,1.258,0.99096,1.36452,0.79188,0.70065,0.79098,0.45676,1.46807,1.04011,1.46794,0.000402084,0.000402084,0.000402084
87,6215.39,1.24182,0.97445,1.34481,0.79476,0.72362,0.78747,0.44834,1.52711,1.05706,1.51612,0.000391966,0.000391966,0.000391966
88,6285.33,1.22106,0.95486,1.33526,0.79015,0.7028,0.77677,0.43599,1.52982,1.06479,1.50708,0.000381899,0.000381899,0.000381899
89,6357.13,1.22478,0.94564,1.32206,0.76401,0.71285,0.77976,0.44222,1.50317,1.07041,1.4857,0.000371885,0.000371885,0.000371885
90,6428.23,1.24225,0.96474,1.35031,0.7908,0.70926,0.78797,0.44212,1.50081,1.06585,1.49242,0.000361929,0.000361929,0.000361929
91,6501.02,1.22645,0.94265,1.32846,0.76148,0.72651,0.78583,0.45312,1.49459,1.04341,1.49258,0.000352037,0.000352037,0.000352037
92,6573.21,1.23669,0.95063,1.33918,0.78724,0.73151,0.78888,0.45237,1.50606,1.05885,1.51382,0.000342211,0.000342211,0.000342211
93,6642.4,1.21611,0.95634,1.34025,0.79319,0.70065,0.79089,0.44713,1.54262,1.04915,1.50918,0.000332457,0.000332457,0.000332457
94,6714.45,1.21384,0.93686,1.3257,0.77832,0.73008,0.79137,0.45812,1.4832,1.04469,1.47487,0.000322778,0.000322778,0.000322778
95,6787.07,1.21006,0.92177,1.31898,0.77227,0.71572,0.79035,0.45372,1.52383,1.02567,1.50964,0.00031318,0.00031318,0.00031318
96,6859.14,1.20906,0.93259,1.32151,0.80825,0.68342,0.77252,0.44769,1.50349,1.07679,1.5167,0.000303665,0.000303665,0.000303665
97,6932.97,1.2223,0.94635,1.34549,0.78051,0.71735,0.79292,0.46483,1.48324,1.05187,1.47951,0.000294239,0.000294239,0.000294239
